from,to,blockNumber,transactionPosition,subtraces,traceAddress,hierarchy,decoded
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x6523ac15ec152cb70a334230f6c5d62c5bd963f1,17937277,23,2,"[2, 0]",2,exchange
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,17937277,23,0,"[2, 0, 0]",3,transferFrom
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x11ebe21e9d7bf541a18e1e3ac94939018ce88f0b,17937277,23,0,"[2, 0, 1]",3,transfer
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x6523ac15ec152cb70a334230f6c5d62c5bd963f1,17937277,23,2,"[2, 0]",2,exchange
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,17937277,23,0,"[2, 0, 0]",3,transferFrom
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x11ebe21e9d7bf541a18e1e3ac94939018ce88f0b,17937277,23,0,"[2, 0, 1]",3,transfer
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x6523ac15ec152cb70a334230f6c5d62c5bd963f1,17940380,46,0,"[0, 8, 0]",3,transfer
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x6523ac15ec152cb70a334230f6c5d62c5bd963f1,17940384,99,2,[0],1,remove_liquidity
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x11ebe21e9d7bf541a18e1e3ac94939018ce88f0b,17940384,99,0,"[0, 0]",2,transfer
0x0ad66fec8db84f8a3365ada04ab23ce607ac6e24,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,17940384,99,0,"[0, 1]",2,transfer
