from,to,blockNumber,transactionPosition,subtraces,traceAddress,hierarchy,decoded
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17930257,112,1,"[1, 0]",2,transfer
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17930257,112,0,"[1, 1]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,17930257,112,1,"[1, 2]",2,uniswapV3SwapCallback
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17930257,112,0,"[1, 3]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17930548,152,1,"[0, 0]",2,transfer
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17930548,152,1,"[0, 1]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xe4000004000bd8006e00720000d27d1fa000d43e,17930548,152,3,"[0, 2]",2,"TestbOOwoq(address,address,bytes)"
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17930548,152,1,"[0, 3]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17932085,27,1,"[0, 0, 0]",3,transfer
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17932085,27,0,"[0, 0, 1]",3,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xdef1c0ded9bec7f1a1670819833240f027b25eff,17932085,27,1,"[0, 0, 2]",3,0xfa461e33
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17932085,27,0,"[0, 0, 3]",3,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17932516,108,1,"[1, 0]",2,transfer
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17932516,108,0,"[1, 1]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,17932516,108,1,"[1, 2]",2,uniswapV3SwapCallback
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17932516,108,0,"[1, 3]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17932770,209,1,"[1, 0]",2,transfer
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17932770,209,0,"[1, 1]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,17932770,209,1,"[1, 2]",2,uniswapV3SwapCallback
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17932770,209,0,"[1, 3]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17936526,102,1,"[0, 0]",2,transfer
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17936526,102,0,"[0, 1]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,17936526,102,1,"[0, 2]",2,uniswapV3SwapCallback
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0x045da4bfe02b320f4403674b3b7d121737727a36,17936526,102,0,"[0, 3]",2,balanceOf
0x0b1debf6f99a5e2b240296219b76dfebb2183f16,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17936551,16,1,"[0, 0]",2,transfer
