from,to,blockNumber,transactionPosition,subtraces,traceAddress,hierarchy,decoded
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17930257,112,4,[1],1,0x128acb08
0xe4000004000bd8006e00720000d27d1fa000d43e,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17930548,152,4,[0],1,0x128acb08
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17932085,27,4,"[0, 0]",2,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17932516,108,4,[1],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17932770,209,4,[1],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17936526,102,4,[0],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17936551,16,4,[0],1,0x128acb08
0x0090eb43008a030065000000e70099482c00b6df,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17936551,17,4,"[0, 2, 0, 2, 0]",5,0x128acb08
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17936716,3,4,[2],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17936716,5,4,[2],1,0x128acb08
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17936716,7,4,[2],1,0x128acb08
0xd1742b3c4fbb096990c8950fa635aec75b30781a,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17936983,2,4,"[0, 2, 0, 2, 0, 2, 0]",7,0x128acb08
0x0090eb43008a030065000000e70099482c00b6df,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17937306,30,4,[0],1,0x128acb08
0x0090eb43008a030065000000e70099482c00b6df,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17937306,30,4,[0],1,0x128acb08
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17937614,5,4,[1],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17937630,121,4,[1],1,0x128acb08
0x8a23bcdaa0bde54b39cdb2daddf72ffe2e0c5ec4,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17937653,64,0,[2],1,0x3850c7bd
0x8a23bcdaa0bde54b39cdb2daddf72ffe2e0c5ec4,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17937653,64,4,"[5, 2, 0]",3,0x128acb08
0xe592427a0aece92de3edee1f18e0157c05861564,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938166,145,4,"[0, 3, 0]",3,0x128acb08
0xe592427a0aece92de3edee1f18e0157c05861564,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938175,0,4,"[0, 3, 0]",3,0x128acb08
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938175,1,4,[4],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938313,7,4,[1],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938328,0,4,[0],1,0x128acb08
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938328,1,4,[1],1,0x128acb08
0xe592427a0aece92de3edee1f18e0157c05861564,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938396,123,4,"[0, 3, 0]",3,0x128acb08
0xe592427a0aece92de3edee1f18e0157c05861564,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938401,64,4,"[0, 3, 0]",3,0x128acb08
0x0090eb43008a030065000000e70099482c00b6df,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938401,65,4,[0],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17938427,142,4,[1],1,0x128acb08
0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17939400,80,4,"[1, 2, 0]",3,0x128acb08
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17939719,133,4,"[1, 0, 1, 2]",4,0x128acb08
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17939719,133,0,"[1, 0, 1, 2, 2, 0]",6,0x0dfe1681
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17939719,133,0,"[1, 0, 1, 2, 2, 1]",6,0xd21220a7
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17939719,133,0,"[1, 0, 1, 2, 2, 2]",6,0xddca3f43
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17939728,22,4,"[0, 0, 0, 0, 2]",5,0x128acb08
0xf4bdce5f8bf6397346d60afcd33764dbfd275a7f,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940170,21,4,"[3, 3, 1]",3,0x128acb08
0xf4bdce5f8bf6397346d60afcd33764dbfd275a7f,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940170,21,0,"[3, 3, 1, 2, 0]",5,0x0dfe1681
0xf4bdce5f8bf6397346d60afcd33764dbfd275a7f,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940170,21,0,"[3, 3, 1, 2, 1]",5,0xd21220a7
0xf4bdce5f8bf6397346d60afcd33764dbfd275a7f,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940170,21,0,"[3, 3, 1, 2, 2]",5,0xddca3f43
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940233,79,4,[0],1,0x128acb08
0x0090eb43008a030065000000e70099482c00b6df,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940234,12,4,"[0, 2, 0, 2, 0]",5,0x128acb08
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940324,162,4,"[1, 0, 1, 0]",4,0x128acb08
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940324,162,0,"[1, 0, 1, 0, 2, 0]",6,0x0dfe1681
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940324,162,0,"[1, 0, 1, 0, 2, 1]",6,0xd21220a7
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940324,162,0,"[1, 0, 1, 0, 2, 2]",6,0xddca3f43
0xe592427a0aece92de3edee1f18e0157c05861564,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17940729,47,4,[0],1,0x128acb08
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17941516,191,4,[1],1,0x128acb08
0x1111111254eeb25477b68fb85ed929f73a960582,0x0b1debf6f99a5e2b240296219b76dfebb2183f16,17942878,22,4,[1],1,0x128acb08
