from,to,blockNumber,transactionPosition,subtraces,traceAddress,hierarchy,decoded
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930378,331,0,"[0, 4, 2, 0]",4,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930378,331,0,"[0, 4, 2, 1]",4,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930378,331,0,"[0, 4, 2, 2]",4,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930467,60,0,"[1, 3, 2, 0]",4,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930467,60,0,"[1, 3, 2, 1]",4,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930467,60,0,"[1, 3, 2, 2]",4,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930498,42,0,"[0, 4, 0]",3,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930498,42,0,"[0, 4, 1]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930498,42,0,"[0, 4, 2]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930515,105,0,"[5, 0]",2,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930515,105,0,"[5, 1]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930515,105,0,"[5, 2]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930518,1,0,"[5, 0]",2,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930518,1,0,"[5, 1]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930518,1,0,"[5, 2]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930518,11,0,"[0, 4, 0]",3,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930518,11,0,"[0, 4, 1]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930518,11,0,"[0, 4, 2]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930918,24,0,"[0, 4, 0]",3,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930918,24,0,"[0, 4, 1]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930918,24,0,"[0, 4, 2]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930959,41,0,"[1, 2, 1, 2, 0]",5,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17930959,41,0,"[1, 2, 1, 2, 1]",5,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17930959,41,0,"[1, 2, 1, 2, 2]",5,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17931004,64,0,"[5, 0]",2,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931004,64,0,"[5, 1]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17931004,64,0,"[5, 2]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931028,104,0,"[5, 0]",2,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931028,104,0,"[5, 1]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17931028,104,0,"[5, 2]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931042,19,0,"[0, 4, 0]",3,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931042,19,0,"[0, 4, 1]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17931042,19,0,"[0, 4, 2]",3,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931279,78,0,"[0, 4, 2, 0]",4,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931279,78,0,"[0, 4, 2, 1]",4,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17931279,78,0,"[0, 4, 2, 2]",4,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931485,27,0,"[8, 0]",2,transfer
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0x4a220e6096b25eadb88358cb44068a3248254675,17931485,27,0,"[8, 1]",2,balanceOf
0x0c4a68cf6857cc76fe946d04fe85fac5fae9625e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17931485,27,0,"[8, 2]",2,balanceOf
