from,to,blockNumber,transactionPosition,subtraces,traceAddress,hierarchy,decoded
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17936658,124,0,"[4, 0]",2,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17936658,124,0,"[4, 1]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17936658,124,0,"[4, 2]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17937549,85,0,"[0, 2, 2, 0]",4,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17937549,85,0,"[0, 2, 2, 1]",4,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17937549,85,0,"[0, 2, 2, 2]",4,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17938868,138,0,"[5, 0]",2,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17938868,138,0,"[5, 1]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17938868,138,0,"[5, 2]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17939536,4,0,"[5, 0]",2,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17939536,4,0,"[5, 1]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17939536,4,0,"[5, 2]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17939536,5,0,"[0, 2, 0]",3,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17939536,5,0,"[0, 2, 1]",3,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17939536,5,0,"[0, 2, 2]",3,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17939537,26,0,"[1, 0]",2,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17939537,26,0,"[1, 1]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17939537,26,0,"[1, 2]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17941069,24,0,"[1, 0, 1, 2, 0]",5,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17941069,24,0,"[1, 0, 1, 2, 1]",5,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17941069,24,0,"[1, 0, 1, 2, 2]",5,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17941999,139,0,"[5, 0]",2,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17941999,139,0,"[5, 1]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17941999,139,0,"[5, 2]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17942518,8,0,"[1, 0, 0, 1, 2, 0]",6,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17942518,8,0,"[1, 0, 0, 1, 2, 1]",6,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17942518,8,0,"[1, 0, 0, 1, 2, 2]",6,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17942527,83,0,"[1, 0]",2,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17942527,83,0,"[1, 1]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17942527,83,0,"[1, 2]",2,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17944382,89,0,"[0, 3, 0]",3,transfer
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,17944382,89,0,"[0, 3, 1]",3,balanceOf
0x0d0d65e7a7db277d3e0f5e1676325e75f3340455,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17944382,89,0,"[0, 3, 2]",3,balanceOf
